     ---           0.107741030 0.000008110 0.078  446.66328   -      -    F       
OGLE-LMC-DSCT-1607 0.160535537 0.000000469 0.042 2167.73240 19.089 19.615 1O
     ---           0.210119315 0.000000984 0.037 2167.64504   -      -    F       
OGLE-LMC-DSCT-1615 0.161223044 0.000000162 0.053  455.47038 18.964 19.512 1O
     ---           0.207832105 0.000073736 0.027  455.56868   -      -    F       
OGLE-LMC-DSCT-1621 0.097338068 0.000000070 0.102  455.61185 19.860 20.324 1O
     ---           0.125892395 0.000000257 0.058  455.54275   -      -    F       
OGLE-LMC-DSCT-1651 0.240666152 0.000010669 0.063  455.51583 19.079 19.607 F
     ---           0.182893399 0.000000230 0.051  455.60492   -      -    1O       
OGLE-LMC-DSCT-1679 0.180230058 0.000000379 0.036  455.60697 19.323 19.865 F
     ---           0.137833094 0.000033340 0.036  455.53236   -      -    1O       
OGLE-LMC-DSCT-1684 0.235392213 0.000043872 0.148  455.39270 20.256 20.553
     ---           0.072634416 0.000006676 0.106  455.59629   -      -           
OGLE-LMC-DSCT-1703 0.142385902 0.000000404 0.071 2167.77154 19.727 20.266 F
     ---           0.110137099 0.000000405 0.046 2167.80128   -      -    1O       
OGLE-LMC-DSCT-1728 0.164127578 0.000000369 0.040 2167.72788 18.486 18.774 1O
     ---           0.131977201 0.000022247 0.025 2167.82867   -      -    2O       
OGLE-LMC-DSCT-1731 0.055103038 0.000000046 0.009 2167.82626 16.273 16.552
     ---           0.053601467 0.000000045 0.008 2167.83752   -      -           
OGLE-LMC-DSCT-1789 0.092804357 0.000000121 0.114  455.60763 20.433 20.805 F
     ---           0.071929696 0.000026937 0.090  455.58639   -      -    1O       
OGLE-LMC-DSCT-1889 0.117471541 0.000000183 0.080 2167.79715 19.501 19.999 1O
     ---           0.152228671 0.000039310 0.054 2167.69127   -      -    F       
OGLE-LMC-DSCT-1890 0.110730915 0.000000205 0.053 2167.75338 19.406 19.891 1O
     ---           0.143484035 0.000000536 0.040 2167.83683   -      -    F       
OGLE-LMC-DSCT-1909 0.124742981 0.000008784 0.056  455.53875 19.195 19.618 1O
     ---           0.162574676 0.000037821 0.051  455.50414   -      -    F       
OGLE-LMC-DSCT-1945 0.108462818 0.000000099 0.103  455.56395 20.008 20.396 F
     ---           0.083939310 0.000000086 0.071  455.59701   -      -    1O       
OGLE-LMC-DSCT-2056 0.174487999 0.000000159 0.058 2167.70125 18.244 18.833 1O
     ---           0.117361095 0.000000330 0.016 2167.80073   -      -    3O       
     ---           0.087244000 0.000000190 0.013 2167.85728   -      -    =P1/2       
OGLE-LMC-DSCT-2076 0.185678411 0.000000454 0.044 2167.70368 18.701 19.158 1O
     ---           0.124767784 0.000000401 0.023 2167.80984   -      -    3O       
OGLE-LMC-DSCT-2101 0.292871931 0.000000674 0.075  455.36307 18.406 18.906 F
     ---           0.223367391 0.000000475 0.055  455.57801   -      -    1O       
     ---           0.126720372 0.000000198 0.025  455.58397   -      -    =1/(1/P1+1/P2)       
     ---           0.146435965 0.000000238 0.020  455.62688   -      -    =P1/2       
OGLE-LMC-DSCT-2166 0.094230061 0.000000089 0.047  726.71033 19.340 19.815 F
     ---           0.075064300 0.000000145 0.018  726.78350   -      -    1O S/N = 4.92     
OGLE-LMC-DSCT-2190 0.131069097 0.000000445 0.055 2167.80271 19.652 20.247 1O
     ---           0.169826226 0.000000705 0.056 2167.83889   -      -    F       
OGLE-LMC-DSCT-2209 0.222677657 0.000000995 0.032 2167.71149 19.104 19.730 F
     ---           0.170071984 0.000000648 0.031 2167.71640   -      -    1O       
OGLE-LMC-DSCT-2221 0.110510089 0.000000709 0.087  726.76371 20.001 20.541 F
     ---           0.085578752 0.000005958 0.084  726.79252   -      -    1O       
OGLE-LMC-DSCT-2297 0.124597276 0.000036499 0.087 2187.62970 19.461 19.953 1O
     ---           0.160848187 0.000000466 0.068 2187.70770   -      -    F       
OGLE-LMC-DSCT-2316 0.165986232 0.000000540 0.089 2187.56396 19.722 20.415 F
     ---           0.127592940 0.000000327 0.086 2187.62287   -      -    1O       
OGLE-LMC-DSCT-2335 0.105674373 0.000000270 0.080 2187.74133 19.956 20.584 1O
     ---           0.137099172 0.000000548 0.071 2187.62824   -      -    F       
OGLE-LMC-DSCT-2345 0.148392519 0.000000223 0.054  726.73051 19.148 19.740 1O
     ---           0.193998152 0.000000472 0.044  726.74917   -      -    F       
     ---           0.119213838 0.000022024 0.034  726.70966   -      -    2O       
OGLE-LMC-DSCT-2353 0.198436582 0.000001045 0.087 2187.54491 19.986 20.882 F
     ---           0.152522366 0.000000645 0.080 2187.72519   -      -    1O       
OGLE-LMC-DSCT-2378 0.138081207 0.000000253 0.086  726.69492 20.038 20.607
     ---           0.120743964 0.000000264 0.052  726.69912   -      -           
OGLE-LMC-DSCT-2386 0.241944080 0.000021546 0.062  726.54527 19.227 19.956 F
     ---           0.184283588 0.000000594 0.046  726.73813   -      -    1O       
OGLE-LMC-DSCT-2388 0.132792224 0.000000259 0.056  726.72920 19.471 20.014 1O
     ---           0.172753378 0.000143443 0.044  726.71228   -      -    F       
OGLE-LMC-DSCT-2400 0.188030640 0.000000680 0.060 2187.55852 19.262 19.744 F
     ---           0.144349996 0.000000615 0.043 2187.74114   -      -    1O       
OGLE-LMC-DSCT-2406 0.182106112 0.000000252 0.067  726.62718 19.094 19.775 1O
     ---           0.238283539 0.000000497 0.063  726.61437   -      -    F       
     ---           0.103220640 0.000000124 0.026  726.80630   -      -    =1/(1/P1+1/P2)       
OGLE-LMC-DSCT-2454 0.120934023 0.000000144 0.069  726.72831 18.852 19.432
     ---           0.115681971 0.000000215 0.052  726.72123   -      -           
     ---           0.060467011 0.000000069 0.026  726.78534   -      -    =P1/2       
OGLE-LMC-DSCT-2465 0.118568816 0.000473207 0.043  726.78845 19.358 20.188 F
     ---           0.091504307 0.000000152 0.040  726.78040   -      -    1O       
OGLE-LMC-DSCT-2475 0.061829291 0.000000081 0.072 2187.77652 19.440 19.831
     ---           0.057299834 0.000007067 0.054 2187.77574   -      -           
OGLE-LMC-DSCT-2481 0.282124491 0.000164216 0.072  726.72853 18.821 19.426 F
     ---           0.214316712 0.000015936 0.061  726.74190   -      -    1O       
OGLE-LMC-DSCT-2485 0.116308730 0.000000154 0.104  726.72855 20.064 20.496 F
     ---           0.089930287 0.000007101 0.085  726.79729   -      -    1O       
OGLE-LMC-DSCT-2513 0.221487220 0.000000804 0.036 2187.67482 18.501 18.929 F
     ---           0.169119556 0.000000451 0.033 2187.68071   -      -    1O       
OGLE-LMC-DSCT-2529 0.159707265 0.000000223 0.070 2187.75829 18.756 19.213 1O
     ---           0.128621570 0.000000441 0.026 2187.64975   -      -    2O       
OGLE-LMC-DSCT-2539 0.245649292 0.000000788 0.074 2193.66093 18.960 19.562 F
     ---           0.188505257 0.000000330 0.071 2193.73058   -      -    1O       
     ---           0.810341492 0.000010519 0.027 2193.15435   -      -    =1/(1/P2-1/P1)       
     ---           0.106658292 0.000000182 0.025 2193.78229   -      -    =1/(1/P1+1/P2)       
OGLE-LMC-DSCT-2569 0.232492922 0.000001036 0.050 2193.73846 19.008 19.630 F
     ---           0.177475948 0.000000639 0.039 2193.75065   -      -    1O       
OGLE-LMC-DSCT-2575 0.109378346 0.000000147 0.013 2187.75077 13.797 14.233
     ---           0.103352686 0.000112765 0.010 2187.73436   -      -           
     ---           0.098061807 0.000000152 0.008 2187.71635   -      -           
OGLE-LMC-DSCT-2585 0.173476569 0.000000536 0.029 2168.78061 18.427 18.878 1O
     ---           0.222147203 0.000001416 0.020 2168.65128   -      -    F       
OGLE-LMC-DSCT-2588 0.059265898 0.000000019 0.079 2193.84685 17.728 18.121 F
     ---           0.029632949 0.000000007 0.025 2193.84234   -      -    =P1/2       
     ---           0.046230491 0.000000047 0.019 2193.83533   -      -    1O       
OGLE-LMC-DSCT-2665 0.054108423 0.000000057 0.005 2177.76475 14.408 14.650
     ---           0.051362785 0.000000070 0.004 2177.77528   -      -           
     ---           0.044652461 0.000005834 0.003 2177.77768   -      -           
OGLE-LMC-DSCT-2716 0.208125327 0.000000834 0.058 2187.62030 19.330 19.663
     ---           0.213145432 0.000037817 0.050 2187.61155   -      -           
OGLE-LMC-DSCT-2733 0.276660239 0.000000601 0.086 2187.57285 18.416 18.938 F
     ---           0.213708710 0.000000324 0.080 2187.80250   -      -    1O       
     ---           0.120571873 0.000000157 0.028 2187.80409   -      -    =1/(1/P1+1/P2)    
