OGLE-LMC-DSCT-0076 20.560 20.889 0.063493047 0.000000104 2171.86247 0.357 0.151 3.421  
OGLE-LMC-DSCT-0077 20.744 21.133 0.065223101 0.000000085 2171.86614 0.344 0.343 3.504  
OGLE-LMC-DSCT-0078 17.010 17.515 0.053095470 0.000000019 2165.81573 0.057 0.232 3.661  
OGLE-LMC-DSCT-0079 20.663 21.078 0.070268194 0.000000074 2171.86237 0.277 0.371 4.121  
OGLE-LMC-DSCT-0080 20.761 21.076 0.077543122 0.000000098 2165.83098 0.363 0.376 4.766  
OGLE-LMC-DSCT-0081 20.263 20.713 0.076688181 0.000000097 2165.80658 0.256 0.455 4.126  
OGLE-LMC-DSCT-0082 20.319 20.751 0.079217592 0.000000090 2165.84461 0.210 0.353 3.496  
OGLE-LMC-DSCT-0083 16.963    -   0.105876719 0.000000198 2191.73700 0.075 0.088 4.992  
OGLE-LMC-DSCT-0084 20.142 20.384 0.074730425 0.000000072 2165.84182 0.266 0.413 3.887  
OGLE-LMC-DSCT-0085 20.838 21.336 0.048655665 0.000000078 2165.83472 0.264 0.278 5.555  
OGLE-LMC-DSCT-0086 20.140 20.632 0.081679621 0.000000143 2165.82381 0.168 0.169 4.069  
OGLE-LMC-DSCT-0087 20.670 21.036 0.072485191 0.000000144 2165.82067 0.304 0.284 2.260  
OGLE-LMC-DSCT-0088 18.067 19.159 0.060992733 0.000000140 2171.84322 0.021 0.143 4.274  
OGLE-LMC-DSCT-0089 16.623 17.088 0.063399086 0.000000007 2165.88278 0.169 0.358 4.050  
OGLE-LMC-DSCT-0090 20.623 21.138 0.090499139 0.000000102 2165.81055 0.322 0.463 3.872  
OGLE-LMC-DSCT-0091 19.381 19.632 0.218017986 0.000001203 2171.82308 0.106 0.336 0.164  
OGLE-LMC-DSCT-0092 20.062 20.500 0.074503472 0.000000087 2171.85036 0.185 0.465 4.352  
OGLE-LMC-DSCT-0093 19.803 20.422 0.148222816 0.000000655 2171.77736 0.176 0.069 4.725  
OGLE-LMC-DSCT-0094 19.728 20.277 0.126937105 0.000000415 2171.88046 0.126 0.271 3.436  
OGLE-LMC-DSCT-0095 19.823 20.295 0.089660709 0.000000109 2171.88936 0.171 0.518 3.960  
OGLE-LMC-DSCT-0096 20.410 20.878 0.069150440 0.000000079 2165.79694 0.244 0.532 4.538  
OGLE-LMC-DSCT-0097 19.926 20.299 0.080145874 0.000000135 2165.83579 0.167 0.209 3.765  
OGLE-LMC-DSCT-0098 20.663 21.260 0.086048435 0.000000182 2171.82183 0.338 0.313 3.789  
OGLE-LMC-DSCT-0099 19.943 20.417 0.082335196 0.000000070 2171.88680 0.252 0.489 3.633  
OGLE-LMC-DSCT-0100 20.372 20.811 0.073339555 0.000000074 2171.88578 0.381 0.500 4.196  
OGLE-LMC-DSCT-0101 20.075 20.507 0.072115516 0.000000069 2183.80955 0.216 0.585 4.005  
OGLE-LMC-DSCT-0102 19.940 20.434 0.102540255 0.000000228 2171.79747 0.203 0.096 4.735  
OGLE-LMC-DSCT-0103 19.890 20.494 0.062716765 0.000000101 2183.81007 0.200 0.024 5.598  
OGLE-LMC-DSCT-0104 19.247 19.429 0.188164572 0.000000709 2165.76754 0.110 0.033 3.470  
OGLE-LMC-DSCT-0105 20.420 20.823 0.064168395 0.000000108 2171.87534 0.249 0.133 4.906  
OGLE-LMC-DSCT-0106 20.203 20.656 0.073907549 0.000000084 2171.86408 0.368 0.322 4.004  
OGLE-LMC-DSCT-0107 21.386 21.599 0.050118645 0.000000058 2165.81130 0.405 0.123 3.120  
OGLE-LMC-DSCT-0108 18.900 19.501 0.202251559 0.000001087 2171.86880 0.066 0.151 3.510  
OGLE-LMC-DSCT-0109 19.225 19.591 0.188851746 0.000000723 2171.88743 0.086 0.060 3.789  
OGLE-LMC-DSCT-0110 19.509 20.077 0.186319919 0.000000550 2165.72944 0.170 0.241 4.604  
OGLE-LMC-DSCT-0111 20.292 20.815 0.094280552 0.000000231 2171.84468 0.234 0.365 4.758  
OGLE-LMC-DSCT-0112 19.990 20.419 0.081154488 0.000000141 2171.87482 0.193 0.286 4.180  
OGLE-LMC-DSCT-0113 19.380 19.949 0.128718889 0.000000143 2171.84760 0.247 0.290 4.218  
OGLE-LMC-DSCT-0114 20.163 20.664 0.095897266 0.000000119 2171.88224 0.261 0.405 4.228  
OGLE-LMC-DSCT-0115 19.596 20.128 0.060634594 0.000000029 2171.89729 0.229 0.464 3.917  
OGLE-LMC-DSCT-0116 20.675 21.044 0.077676189 0.000000078 2171.85380 0.340 0.531 4.136  
OGLE-LMC-DSCT-0117 20.468 20.807 0.060973642 0.000000052 2171.86369 0.298 0.514 3.441  
OGLE-LMC-DSCT-0118 20.523 20.854 0.082342664 0.000000162 2171.88533 0.322 0.264 3.632  
