OGLE-LMC-RRLYR-00975 18.989 19.592  0.3581203 0.0000010  2165.69916  0.260  0.181 5.500  0.000   -    0.4809878 0.0000047  2165.49727  0.128  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00998 19.049 19.663  0.3625503 0.0000012  2165.57691  0.248  0.152 5.384  0.011   -    0.4873341 0.0000047  2165.46842  0.112  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01028 18.599 19.096  0.3944021 0.0000010  2171.53807  0.255  0.189 5.088  0.000   -    0.5286575 0.0000034  2171.42585  0.151  0.148 4.298  0.000   -  
OGLE-LMC-RRLYR-01041 18.977 19.578  0.3618716 0.0000010  2171.87886  0.269  0.167 4.671  0.000   -    0.4860629 0.0000036  2171.63777  0.129  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01049 18.987 19.589  0.3589688 0.0000012  2183.68093  0.259  0.000   -    0.000   -    0.4823274 0.0000077  2183.41140  0.080  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01126 18.743 19.213  0.3556690 0.0000011  2171.60376  0.256  0.000   -    0.000   -    0.4777960 0.0000062  2171.67003  0.074  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01131 18.947 19.474  0.3394655 0.0000010  2171.88750  0.244  0.203 5.015  0.000   -    0.4575150 0.0000015  2171.66956  0.282  0.264 4.094  0.000   -  
OGLE-LMC-RRLYR-01139 18.797 19.293  0.3490913 0.0000009  2171.85237  0.255  0.280 5.157  0.000   -    0.4692581 0.0000026  2171.79314  0.173  0.173 4.457  0.000   -  
OGLE-LMC-RRLYR-01205 18.815 19.315  0.3572513 0.0000010  2171.83336  0.245  0.182 5.512  0.000   -    0.4804792 0.0000017  2171.57695  0.236  0.205 4.140  0.006   -  
OGLE-LMC-RRLYR-01208 18.866 19.424  0.3457073 0.0000008  2166.75855  0.246  0.192 5.229  0.000   -    0.4650342 0.0000016  2166.78113  0.245  0.252 3.565  0.000   -  
OGLE-LMC-RRLYR-01224 18.691 19.160  0.3513055 0.0000008  2171.60879  0.249  0.210 5.468  0.000   -    0.4722912 0.0000017  2171.88136  0.209  0.254 4.248  0.000   -  
OGLE-LMC-RRLYR-01226 18.828 19.354  0.3666529 0.0000009  2166.80408  0.258  0.139 5.183  0.000   -    0.4922561 0.0000030  2166.82949  0.151  0.261 4.555  0.000   -  
OGLE-LMC-RRLYR-01241 18.676 19.087  0.3673584 0.0000008  2171.79217  0.246  0.202 5.141  0.000   -    0.4935756 0.0000020  2171.75291  0.219  0.175 4.298  0.000   -  
OGLE-LMC-RRLYR-01245 18.828 19.392  0.3879671 0.0000011  2166.56635  0.274  0.307 5.239  0.147 3.699  0.5207365 0.0000028  2166.41424  0.192  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01251 19.155 19.764  0.3677332 0.0000014  2171.70403  0.271  0.238 5.071  0.000   -    0.4943752 0.0000029  2171.68930  0.227  0.226 4.263  0.000   -  
OGLE-LMC-RRLYR-01255 19.063 19.711  0.3732602 0.0000010  2165.63905  0.294  0.269 5.061  0.000   -    0.5015033 0.0000017  2165.72218  0.264  0.275 4.277  0.000   -  
OGLE-LMC-RRLYR-01260 19.004 19.522  0.3496284 0.0000010  2171.66596  0.246  0.154 5.261  0.000   -    0.4700357 0.0000032  2171.83777  0.167  0.214 4.403  0.000   -  
OGLE-LMC-RRLYR-01272 18.731 19.295  0.4003475 0.0000012  2166.47961  0.259  0.207 4.972  0.000   -    0.5366317 0.0000050  2166.31468  0.114  0.000   -    0.000   -  
