OGLE-LMC-ECL-00072  16.258 18.935    2.491528  3563.7913  0.314  0.062  3.798 14.237 1.7919
OGLE-LMC-ECL-00073  17.467 19.276    3.264091  3568.5600  0.126  0.034  2.015  9.293 0.5987
OGLE-LMC-ECL-00074  18.232 19.020    3.026394  3565.9445  0.194  0.052  1.542  3.340 0.6416
OGLE-LMC-ECL-00075  19.580 19.924    3.311980  3567.5450  1.187  0.259  2.765  8.588 1.2682
OGLE-LMC-ECL-00076  15.568 16.454   14.498500  3587.7337  0.274  0.052  5.602 35.217 1.5900
OGLE-LMC-ECL-00077  19.434 19.490    2.848546  3563.8499  0.367  0.119  0.905  1.220 0.4580
OGLE-LMC-ECL-00078  19.782 19.995    1.336851  3564.4023  0.845  0.214  1.775  4.201 1.0303
OGLE-LMC-ECL-00079  19.482 19.560    5.417446  3571.2002  0.479  0.127  1.497  3.781 0.7522
OGLE-LMC-ECL-00080  19.832 20.132    3.237880  3564.5328  0.787  0.205  1.479  3.190 0.5246
OGLE-LMC-ECL-00081  19.379 20.040   26.119910  3593.9617  0.394  0.111  1.818  7.692 0.6703
OGLE-LMC-ECL-00082  19.757 20.639    8.499619  3578.4475  0.580  0.190  0.781  0.591 0.5664
OGLE-LMC-ECL-00083  19.901 20.437    3.622988  3566.8494  0.898  0.261  1.511  2.274 0.6625
OGLE-LMC-ECL-00084  17.189 17.179    2.101957  3566.2901  0.097  0.033  0.501 -0.414 1.3216
OGLE-LMC-ECL-00085  19.769 20.065    3.499870  3566.0621  0.878  0.226  1.751  4.439 0.5402
OGLE-LMC-ECL-00086  18.801 18.988    7.053281  3557.7333  0.232  0.069  0.968  1.545 0.5812
OGLE-LMC-ECL-00087  19.699 19.957    3.297469  3560.0396  1.000  0.224  2.233  7.161 0.6374
OGLE-LMC-ECL-00088  19.662 20.231    1.235176  3564.2313  0.605  0.174  0.818  0.847 0.8311
OGLE-LMC-ECL-00089  18.666 19.653  136.309630  3707.4302  0.221  0.063  1.841  7.021 0.7798
OGLE-LMC-ECL-00090  19.525 20.413    4.679340  3566.4003  0.581  0.162  1.234  2.265 0.7049
OGLE-LMC-ECL-00091  16.799 16.855   24.810270  3619.1609  0.363  0.077  3.548 12.345 1.8173
OGLE-LMC-ECL-00092  16.859 16.793    2.880800  3563.2666  0.129  0.038  0.794 -0.283 1.5720
OGLE-LMC-ECL-00093  18.963 19.213    9.629750  3577.0888  0.402  0.110  3.146 20.136 0.7895
OGLE-LMC-ECL-00094  19.633 19.876    3.438433  3564.3124  0.640  0.154  1.601  4.635 0.5513
OGLE-LMC-ECL-00095  18.894 19.577   12.821710  3576.6670  0.611  0.149  1.349  2.032 1.4584
OGLE-LMC-ECL-00096  19.681 19.963    1.272786  3558.1608  0.563  0.161  1.525  4.583 0.5542
OGLE-LMC-ECL-00097  13.823 14.477    2.138553  3557.1306  0.048  0.012  2.340  8.763 1.1112
OGLE-LMC-ECL-00098  19.341 19.807    1.623803  3564.8306  0.543  0.157  0.724  0.325 1.0241
OGLE-LMC-ECL-00099  19.742 20.013    3.508427  3567.0241  0.801  0.200  1.599  3.282 0.8761
OGLE-LMC-ECL-00100  18.369 19.296   10.107730  3572.2769  0.410  0.104  1.205  1.348 1.4519
OGLE-LMC-ECL-00101  17.738 17.707    3.782115  3558.6032  0.140  0.039  1.390  2.349 0.9646
OGLE-LMC-ECL-00102  17.988 19.112  104.889984  3850.3025  0.144  0.044  0.324 -0.183 0.8869
OGLE-LMC-ECL-00103  19.247 19.561    6.237660  3561.8396  1.337  0.302  2.853  8.169 1.5528
OGLE-LMC-ECL-00104  17.483 18.638   51.031890  3680.8670  0.501  0.139  1.204  0.543 1.9028
OGLE-LMC-ECL-00105  19.435 19.800    2.882219  3561.3555  0.383  0.121  0.885  0.885 0.3317
OGLE-LMC-ECL-00106  19.510 19.819    1.569490  3558.0612  0.553  0.163  1.095  1.449 0.8053
OGLE-LMC-ECL-00107  18.330 19.345    9.749651  3571.1916  0.872  0.236  1.561  1.678 1.7229
OGLE-LMC-ECL-00108  19.466 20.418   19.875839  3599.3848  0.421  0.128  1.223  2.771 0.3409
OGLE-LMC-ECL-00109  18.096 19.132   19.009225  3589.6572  0.168  0.056  0.619  0.390 0.4679
OGLE-LMC-ECL-00110  18.222 18.226    1.878730  3561.2388  0.211  0.058  1.601  3.477 1.0828
OGLE-LMC-ECL-00111  16.205 17.193    7.837300  3569.4293  0.326  0.064  6.436 50.096 1.3653
OGLE-LMC-ECL-00112  19.445 19.974    6.639253  3580.0678  0.419  0.126  1.063  1.547 0.3982
OGLE-LMC-ECL-00113  17.467 18.695   73.911502  3675.6001  0.291  0.080  0.721 -0.004 1.5560
OGLE-LMC-ECL-00114  18.398 19.447   11.451710  3574.3497  0.833  0.211  1.772  2.438 1.8406
OGLE-LMC-ECL-00115  19.407 19.422    4.536016  3570.0780  0.303  0.099  0.709  1.020 0.3033
OGLE-LMC-ECL-00116  18.393 19.797    6.030620  3566.7758  0.309  0.066  3.430 17.858 0.9785
OGLE-LMC-ECL-00117  18.917 19.608    3.086001  3570.9642  0.679  0.168  1.778  3.345 1.5389
OGLE-LMC-ECL-00118  17.943 17.935    1.091833  3559.1596  0.256  0.068  1.178  1.283 1.5226
OGLE-LMC-ECL-00119  19.648 19.852    3.420020  3571.1717  0.939  0.228  1.801  4.390 0.9122
OGLE-LMC-ECL-00120  19.537 19.731    6.371097  3572.8028  0.426  0.130  0.896  1.845 0.4060
OGLE-LMC-ECL-00121  17.932 17.921    5.419920  3563.1590  0.152  0.037  1.699  5.576 0.8918
OGLE-LMC-ECL-00122  17.919 19.041   31.170320  3598.2704  0.630  0.144  2.020  4.167 1.8541
OGLE-LMC-ECL-00123  14.916 16.039    0.459460  3563.3852  0.101  0.029  1.541  1.388 0.5520
OGLE-LMC-ECL-00124  18.440 19.518  175.191058  3951.0324  0.157  0.055  0.389 -0.143 0.6509
OGLE-LMC-ECL-00125  16.747 16.749    4.325470  3565.3663  0.207  0.049  2.092  4.246 1.7404
OGLE-LMC-ECL-00126  19.671 19.900    1.473343  3559.3918  0.506  0.152  0.944  1.364 0.2802
OGLE-LMC-ECL-00127  17.608 17.578    1.971660  3564.4493  0.414  0.119  1.684  1.636 1.8646
OGLE-LMC-ECL-00128  19.850 20.161    2.298379  3561.2558  0.593  0.172  0.993  1.709 0.3832
OGLE-LMC-ECL-00129  19.644 20.229    1.448741  3564.0538  0.799  0.229  1.224  1.104 1.0923
OGLE-LMC-ECL-00130  19.731 19.980    2.161606  3564.0541  0.990  0.257  1.656  3.352 0.8460
OGLE-LMC-ECL-00131  18.874 19.821    6.358604  3566.4158  0.394  0.122  0.766  0.008 1.2193
OGLE-LMC-ECL-00132  18.048 19.133  146.733825  3831.7850  0.133  0.044  0.377 -0.263 0.4576
OGLE-LMC-ECL-00133  19.519 19.799    4.209930  3561.5439  1.163  0.245  2.722  9.198 1.1322
OGLE-LMC-ECL-00134  19.942 20.197    3.711688  3573.0712  0.916  0.235  1.453  3.128 0.4496
OGLE-LMC-ECL-00135  19.930 20.472    1.204068  3564.0478  0.778  0.228  0.855  0.825 0.6391
OGLE-LMC-ECL-00136  17.103 17.112    4.218507  3566.8437  0.392  0.091  2.115  4.438 1.8805
OGLE-LMC-ECL-00137  17.800 17.897    1.841558  3566.2875  0.477  0.140  1.315  0.491 1.7018
OGLE-LMC-ECL-00138  17.556 17.643    3.387560  3564.2086  0.330  0.093  1.782  2.189 1.7897
OGLE-LMC-ECL-00139  18.309 19.241    5.058488  3575.6920  0.371  0.100  1.434  1.896 1.3756
OGLE-LMC-ECL-00140  19.512 19.273    4.927450  3571.3789  0.514  0.154  1.597  4.713 0.5679
OGLE-LMC-ECL-00141  19.113 19.401    1.190308  3558.9907  0.308  0.095  0.799  0.715 0.7202
OGLE-LMC-ECL-00142  19.974 20.491    2.301346  3566.2608  0.677  0.208  0.997  1.259 0.5640
OGLE-LMC-ECL-00143  19.440 19.846    2.255368  3563.1647  0.541  0.156  1.113  1.561 0.8753
OGLE-LMC-ECL-00144  19.080 19.602    6.770565  3572.7522  0.483  0.120  1.418  2.752 1.0315
OGLE-LMC-ECL-00145  19.341 20.452   30.129585  3621.7709  0.427  0.124  1.072  3.161 0.4184
OGLE-LMC-ECL-00146  16.636 17.730  372.133023  3808.0127  0.060  0.015  1.469  4.592 0.3909
OGLE-LMC-ECL-00147  18.708 19.772   27.338346  3628.5979  0.245  0.080  0.666  0.493 0.6292
OGLE-LMC-ECL-00148  18.914 19.244    2.112639  3565.4300  0.504  0.150  1.110  0.826 1.4838
OGLE-LMC-ECL-00149  17.834 17.811   17.522416  3579.9242  0.171  0.040  2.009  6.571 0.8698
OGLE-LMC-ECL-00150  18.578 18.603    0.597480  3560.7910  0.691  0.183  1.362  1.248 1.1216
OGLE-LMC-ECL-00151  18.857 19.031    0.990287  3564.8442  0.351  0.106  0.387 -0.226 0.7972
OGLE-LMC-ECL-00152  19.616 20.590    2.974900  3563.5648  0.687  0.207  1.447  2.582 0.9615
OGLE-LMC-ECL-00153  19.557 20.689    4.793528  3568.5184  0.557  0.164  0.890  0.561 0.9091
OGLE-LMC-ECL-00154  18.156 18.170    1.041247  3560.5294  0.206  0.061  0.761  0.146 1.0860
OGLE-LMC-ECL-00155  19.357 19.542    3.050430  3569.8935  0.661  0.152  2.097  5.685 1.1137
OGLE-LMC-ECL-00156  16.221 17.782  208.850255  3937.4435  0.034  0.012  0.425  0.273 0.4861
OGLE-LMC-ECL-00157  19.411 19.692    2.784479  3537.1459  1.237  0.298  2.701  7.294 1.4151
